Player,Pos,Squad,Age,Born,MP,Min,Min/MP,Min%,90s,Starts,Min/Start,MatchesCompleted,Subs,Min/Sub,unusedSub,PointsPerMatch,onGoalScored,onGoalAgainst,+/-,+/-/90,On-Off,onPitchxG,onPitchxGA,xG+/-,xG+/-/90,xGOn-Off
Brenden Aaronson,FW,United States,23,2000,1,5,5,1.9,0.1,0,,0,1,5,2,3.00,0,0,0,0.00,0.00,0.9,0.0,+0.9,+15.75,+15.50
Luis Abram,DF,Peru,27,1996,1,7,7,2.6,0.1,0,,0,1,7,2,1.00,0,0,0,0.00,+1.03,0.0,0.1,-0.1,-1.21,-0.08
Carlos Acevedo,GK,Mexico,27,1996,0,,,,,0,,0,0,,3,,,,,,,,,,,
Marcos Acuña,DF,Argentina,32,1991,2,96,48,16.8,1.1,1,88,0,1,8,4,3.00,3,0,+3,+2.81,+1.86,3.7,1.1,+2.6,+2.43,+1.61
Tyler Adams,MF,United States,24,1999,3,180,60,66.7,2.0,3,60,1,0,,0,1.00,3,2,+1,+0.50,+1.50,1.1,2.0,-0.9,-0.43,-2.90
Luis Advíncula,DF,Peru,33,1990,1,34,34,12.6,0.4,1,34,0,0,,2,1.00,0,0,0,0.00,+1.14,0.0,0.8,-0.7,-1.93,-0.92
Alfredo Aguilar,GK,Paraguay,35,1988,0,,,,,0,,0,0,,3,,,,,,,,,,,
Brandon Aguilera,MF,Costa Rica,20,2003,3,177,59,65.6,2.0,2,77,0,1,23,0,1.33,0,3,-3,-1.53,-2.49,0.2,4.9,-4.8,-2.42,-2.03
Ali Ahmed,"FW,DF",Canada,23,2000,3,131,44,24.3,1.5,1,76,0,2,28,3,0.67,1,1,0,0.00,+0.66,2.6,1.1,+1.5,+1.00,+1.40
Josimar Alcocer,"FW,MF",Costa Rica,19,2004,2,92,46,34.1,1.0,1,67,0,1,25,1,1.50,2,1,+1,+0.98,+2.50,0.4,0.8,-0.4,-0.39,+2.01
Omar Alderete,DF,Paraguay,27,1996,3,270,90,100.0,3.0,3,90,3,0,,0,0.00,3,8,-5,-1.67,,2.8,4.9,-2.1,-0.69,
Carmelo Algarañaz,FW,Bolivia,28,1996,3,195,65,72.2,2.2,2,86,1,1,24,0,0.00,1,7,-6,-2.77,+0.83,0.8,5.1,-4.2,-1.96,-0.22
Alisson,GK,Brazil,31,1992,4,360,90,100.0,4.0,4,90,4,0,,0,1.50,5,2,+3,+0.75,,6.3,3.2,+3.2,+0.79,
Gustavo Almada,GK,Bolivia,29,1994,0,,,,,0,,0,0,,3,,,,,,,,,,,
Miguel Almirón,FW,Paraguay,29,1994,3,180,60,66.7,2.0,3,60,0,0,,0,0.00,1,8,-7,-3.50,-5.50,1.3,4.5,-3.1,-1.57,-2.64
Júnior Alonso,DF,Paraguay,30,1993,0,,,,,0,,0,0,,3,,,,,,,,,,,
Roberto Alvarado,FW,Mexico,25,1998,1,13,13,4.8,0.1,0,,0,1,13,2,3.00,0,0,0,0.00,0.00,0.0,0.1,0.0,-0.27,-1.21
Edson Álvarez,MF,Mexico,26,1997,1,29,29,10.7,0.3,1,29,0,0,,0,3.00,0,0,0,0.00,0.00,0.3,0.2,+0.1,+0.18,-0.78
Julián Álvarez,FW,Argentina,24,2000,5,346,69,60.7,3.8,4,80,0,1,26,1,2.60,3,1,+2,+0.52,-1.89,5.8,2.8,+3.0,+0.79,-0.76
Michael Amir Murillo,DF,Panama,27,1996,4,315,79,87.5,3.5,4,79,3,0,,0,1.50,4,9,-5,-1.43,-3.43,2.1,5.0,-2.9,-0.84,-1.68
Eduardo Anderson,MF,Panama,23,2001,0,,,,,0,,0,0,,4,,,,,,,,,,,
Iván Anderson,DF,Panama,26,1997,0,,,,,0,,0,0,,4,,,,,,,,,,,
Karoy Anderson,MF,Jamaica,19,2004,2,31,16,11.5,0.3,0,,0,2,16,1,0.00,0,2,-2,-5.81,-4.30,0.1,1.1,-1.0,-2.90,-1.94
Kervin Andrade,MF,Venezuela,18,2005,1,17,17,4.7,0.2,0,,0,1,17,3,3.00,1,0,+1,+5.29,+4.24,0.6,0.1,+0.5,+2.69,+2.88
José Andrés Martínez,MF,Venezuela,29,1994,4,359,90,99.7,4.0,4,90,3,0,,0,2.50,7,2,+5,+1.25,+1.25,5.6,5.8,-0.2,-0.05,-0.05
Wilker Ángel,DF,Venezuela,30,1993,3,100,33,27.8,1.1,1,90,1,2,5,1,2.33,3,0,+3,+2.70,+2.01,2.0,2.0,0.0,0.00,+0.06
Michail Antonio,FW,Jamaica,33,1990,3,235,78,87.0,2.6,3,78,1,0,,0,0.00,1,6,-5,-1.91,+0.66,1.6,4.7,-3.0,-1.16,+0.12
Uriel Antuna,"FW,MF",Mexico,26,1997,3,173,58,64.1,1.9,2,75,0,1,24,0,1.33,1,1,0,0.00,0.00,2.4,1.7,+0.7,+0.35,-1.47
Jon Aramburu,DF,Venezuela,21,2002,3,260,87,72.2,2.9,3,87,2,0,,1,2.33,4,1,+3,+1.04,-0.76,3.4,4.9,-1.5,-0.53,-1.74
Guilherme Arana,DF,Brazil,26,1997,2,180,90,50.0,2.0,2,90,2,0,,2,1.00,0,0,0,0.00,-1.50,2.3,0.9,+1.4,+0.68,-0.22
Maximiliano Araújo,"FW,DF",Uruguay,23,2000,6,446,74,82.6,5.0,6,74,4,0,,0,1.83,9,3,+6,+1.21,+0.25,6.5,4.0,+2.4,+0.49,-1.39
Miguel Araujo,DF,Peru,29,1994,2,148,74,54.8,1.6,2,74,1,0,,0,0.50,0,0,0,0.00,+2.21,1.3,1.2,0.0,+0.02,+2.55
Ronald Araújo,DF,Uruguay,24,1999,4,257,64,47.6,2.9,4,64,2,0,,2,2.50,7,0,+7,+2.45,+2.45,5.6,0.7,+4.9,+1.70,+1.84
Alex Arce,FW,Paraguay,28,1995,2,150,75,55.6,1.7,2,75,0,0,,0,0.00,2,6,-4,-2.40,-1.65,1.6,4.3,-2.7,-1.63,-2.11
Gabriel Arias,GK,Chile,36,1987,1,90,90,33.3,1.0,1,90,1,0,,2,1.00,0,0,0,0.00,+0.50,0.5,1.1,-0.6,-0.56,+0.61
Jhon Arias,MF,Colombia,26,1997,6,483,81,84.7,5.4,6,81,2,0,,0,2.17,10,2,+8,+1.49,+0.46,7.7,2.4,+5.2,+0.97,+0.29
Santiago Arias,DF,Colombia,32,1992,3,183,61,32.1,2.0,1,120,1,2,32,3,2.00,1,1,0,0.00,-2.09,2.5,1.8,+0.7,+0.41,-0.71
Franco Armani,GK,Argentina,37,1986,0,,,,,0,,0,0,,6,,,,,,,,,,,
Gerardo Arteaga,DF,Mexico,25,1998,3,269,90,99.6,3.0,3,90,2,0,,0,1.33,1,1,0,0.00,0.00,4.6,2.1,+2.5,+0.85,-8.68
Yaser Asprilla,FW,Colombia,20,2003,1,19,19,3.3,0.2,0,,0,1,19,5,3.00,0,0,0,0.00,-1.47,0.3,0.0,+0.2,+1.06,+0.13
Abdiel Ayarza,MF,Panama,31,1992,4,63,16,17.5,0.7,0,,0,4,16,0,1.50,4,3,+1,+1.43,+2.94,0.9,1.9,-1.1,-1.53,-1.09
Theo Bair,FW,Canada,24,1999,1,14,14,2.6,0.2,0,,0,1,14,5,1.00,1,1,0,0.00,+0.51,0.1,0.9,-0.8,-5.17,-5.25
Fabián Balbuena,DF,Paraguay,32,1991,3,270,90,100.0,3.0,3,90,3,0,,0,0.00,3,8,-5,-1.67,,2.8,4.9,-2.1,-0.69,
Folarin Balogun,FW,United States,22,2001,3,175,58,64.8,1.9,3,58,0,0,,0,1.00,3,1,+2,+1.03,+2.92,0.9,1.0,0.0,-0.01,-1.56
Adam Bareiro,FW,Paraguay,27,1996,3,75,25,27.8,0.8,1,45,0,2,15,0,0.00,0,2,-2,-2.40,-1.02,0.2,0.6,-0.4,-0.49,+0.28
Jon Bell,DF,Jamaica,26,1997,1,90,90,33.3,1.0,1,90,1,0,,2,0.00,0,3,-3,-3.00,-1.50,0.5,2.0,-1.4,-1.43,-0.38
Eduard Bello,"FW,MF",Venezuela,28,1995,4,288,72,80.0,3.2,3,81,1,1,45,0,2.50,7,1,+6,+1.87,+3.12,4.5,3.5,+1.0,+0.31,+1.80
Rodrigo Bentancur,MF,Uruguay,26,1997,6,170,28,31.5,1.9,2,62,1,4,12,0,1.83,5,3,+2,+1.06,-0.16,2.6,2.6,+0.1,+0.03,-1.03
Bento,GK,Brazil,24,1999,0,,,,,0,,0,0,,4,,,,,,,,,,,
Lucas Beraldo,DF,Brazil,20,2003,0,,,,,0,,0,0,,4,,,,,,,,,,,
Di'Shon Bernard,DF,Jamaica,23,2000,2,112,56,41.5,1.2,2,56,0,0,,1,0.00,0,2,-2,-1.61,+0.67,0.5,2.5,-2.0,-1.59,-0.71
César Blackman,"MF,DF",Panama,25,1998,3,194,65,53.9,2.2,3,65,1,0,,1,2.00,4,5,-1,-0.46,+1.16,1.9,2.3,-0.4,-0.18,+0.98
Damián Bobadilla,"MF,FW",Paraguay,22,2001,3,197,66,73.0,2.2,2,83,0,1,32,0,0.00,3,6,-3,-1.37,+1.10,1.8,4.6,-2.8,-1.27,-2.13
Marcos Bolados,"FW,MF",Chile,27,1996,3,96,32,35.6,1.1,0,,0,3,32,0,0.67,0,1,-1,-0.94,-0.94,0.6,2.0,-1.3,-1.25,-0.44
Moïse Bombito,DF,Canada,23,2000,6,540,90,100.0,6.0,6,90,6,0,,0,1.00,4,7,-3,-0.50,,8.3,8.7,-0.4,-0.06,
Miguel Borja,FW,Colombia,31,1993,2,28,14,4.9,0.3,0,,0,2,14,4,1.50,1,1,0,0.00,-1.49,1.0,0.5,+0.5,+3.47,+2.60
Rafael Borré,FW,Colombia,28,1995,4,128,32,22.5,1.4,1,67,0,3,20,2,1.75,2,1,+1,+0.70,-0.93,1.1,1.2,0.0,-0.03,-1.16
Coniah Boyce-Clarke,GK,Jamaica,20,2003,0,,,,,0,,0,0,,3,,,,,,,,,,,
Alejandro Bran,MF,Costa Rica,22,2001,2,40,20,14.8,0.4,0,,0,2,20,1,2.00,0,0,0,0.00,+0.78,0.0,1.0,-1.0,-2.22,-0.59
Claudio Bravo,GK,Chile,40,1983,2,180,90,66.7,2.0,2,90,2,0,,0,0.50,0,1,-1,-0.50,-0.50,1.1,3.5,-2.3,-1.17,-0.61
Gleison Bremer,DF,Brazil,26,1997,0,,,,,0,,0,0,,4,,,,,,,,,,,
Jefferson Brenes,MF,Costa Rica,26,1997,3,165,55,61.1,1.8,2,70,0,1,25,0,1.33,2,1,+1,+0.55,+3.12,0.4,2.1,-1.7,-0.91,+2.08
Ben Brereton,FW,Chile,24,1999,3,44,15,16.3,0.5,0,,0,3,15,0,0.67,0,1,-1,-2.05,-2.05,0.2,1.7,-1.6,-3.18,-2.65
Tajon Buchanan,"MF,FW",Canada,24,1999,3,98,33,18.1,1.1,1,58,0,2,20,0,1.33,1,1,0,0.00,+0.61,2.7,1.1,+1.5,+1.39,+1.78
Hernesto Caballero,MF,Paraguay,32,1991,3,110,37,40.7,1.2,1,58,0,2,26,0,0.00,1,2,-1,-0.82,+1.43,1.5,0.3,+1.2,+0.96,+2.78
Carlos Cáceda,GK,Peru,32,1991,0,,,,,0,,0,0,,3,,,,,,,,,,,
Sebastián Cáceres,DF,Uruguay,24,1999,5,258,52,47.8,2.9,2,90,2,3,26,1,1.60,4,4,0,0.00,-2.23,3.1,3.5,-0.5,-0.16,-1.71
Jhonder Cádiz,FW,Venezuela,28,1995,3,85,28,23.6,0.9,0,,0,3,28,1,2.33,3,0,+3,+3.18,+2.52,0.9,2.2,-1.3,-1.40,-1.77
Jordy Caicedo,"FW,MF",Ecuador,26,1997,3,19,6,5.3,0.2,0,,0,3,6,1,1.33,2,0,+2,+9.47,+9.74,1.0,0.1,+0.9,+4.47,+4.41
Moisés Caicedo,MF,Ecuador,22,2001,4,360,90,100.0,4.0,4,90,4,0,,0,1.25,5,4,+1,+0.25,,5.4,4.2,+1.2,+0.29,
Alexander Callens,DF,Peru,31,1992,3,263,88,97.4,2.9,3,88,2,0,,0,0.33,0,3,-3,-1.03,-1.03,1.7,5.0,-3.3,-1.13,+0.08
Francisco Calvo,DF,Costa Rica,31,1992,3,270,90,100.0,3.0,3,90,3,0,,0,1.33,2,4,-2,-0.67,,0.6,5.7,-5.1,-1.72,
Joel Campbell,"MF,FW",Costa Rica,31,1992,3,133,44,49.3,1.5,1,67,0,2,33,0,1.33,2,3,-1,-0.68,-0.02,0.5,1.7,-1.2,-0.82,+1.76
Agustín Canobbio,MF,Uruguay,25,1998,1,1,1,0.2,0.0,0,,0,1,1,5,0.00,0,0,0,0.00,-1.17,0.2,0.4,-0.2,-18.65,-19.42
Valentin Carboni,FW,Argentina,18,2005,1,14,14,2.5,0.2,0,,0,1,14,5,3.00,1,0,+1,+6.43,+5.30,0.5,0.1,+0.4,+2.68,+1.63
Johnny Cardoso,MF,United States,22,2001,2,70,35,25.9,0.8,0,,0,2,35,1,1.50,0,1,-1,-1.29,-1.74,2.7,0.4,+2.3,+2.97,+3.28
Roberto Carlos Fernández,"FW,MF",Bolivia,24,1999,2,119,60,44.1,1.3,2,60,0,0,,1,0.00,0,4,-4,-3.03,-0.05,0.2,3.3,-3.1,-2.34,-0.80
Jorge Carrascal,"MF,FW",Colombia,25,1998,3,51,17,8.9,0.6,0,,0,3,17,3,1.33,2,1,+1,+1.76,+0.38,1.5,0.6,+0.9,+2.28,+1.44
Adalberto Carrasquilla,MF,Panama,25,1998,2,175,88,48.6,1.9,2,88,0,0,,0,1.50,2,3,-1,-0.51,+0.95,1.2,2.3,-1.1,-0.56,+0.14
André Carrillo,MF,Peru,32,1991,1,12,12,4.4,0.1,0,,0,1,12,2,0.00,0,0,0,0.00,+1.05,0.3,0.8,-0.5,-3.96,-2.96
Wilder Cartagena,MF,Peru,29,1994,3,225,75,83.3,2.5,3,75,2,0,,0,0.33,0,1,-1,-0.40,+3.60,1.6,3.1,-1.6,-0.62,+3.05
Cameron Carter-Vickers,DF,United States,26,1997,1,45,45,16.7,0.5,0,,0,1,45,2,0.00,0,1,-1,-2.00,-2.40,0.9,0.4,+0.6,+1.16,+0.75
Julio Cascante,DF,Costa Rica,30,1993,1,3,3,1.1,0.0,0,,0,1,3,2,3.00,0,0,0,0.00,+0.67,0.0,0.5,-0.5,-14.29,-12.71
Cristian Cásseres Jr.,MF,Venezuela,24,2000,3,149,50,41.4,1.7,2,52,0,1,45,1,2.33,1,2,-1,-0.60,-3.16,2.6,3.2,-0.6,-0.36,-0.54
Kevin Castaño,MF,Colombia,23,2000,4,81,20,14.2,0.9,0,,0,4,20,2,2.25,0,1,-1,-1.11,-2.95,1.2,1.2,0.0,+0.07,-0.95
Jesús Castillo,MF,Peru,22,2001,1,45,45,16.7,0.5,0,,0,1,45,2,0.00,0,2,-2,-4.00,-3.60,0.1,2.0,-1.8,-3.68,-3.05
Matías Catalán,DF,Chile,31,1992,0,,,,,0,,0,0,,3,,,,,,,,,,,
Renaldo Cephas,"MF,DF",Jamaica,24,1999,3,59,20,21.9,0.7,1,45,0,2,7,0,0.00,0,1,-1,-1.53,+0.61,0.5,0.8,-0.3,-0.42,+0.97
Boris Cespedes,MF,Bolivia,28,1995,2,152,76,56.3,1.7,2,76,1,0,,1,0.00,0,6,-6,-3.55,-1.26,0.2,3.5,-3.2,-1.91,-0.04
Kevin Chamorro,GK,Costa Rica,23,2000,0,,,,,0,,0,0,,3,,,,,,,,,,,
Jhon Chancellor,DF,Venezuela,32,1992,0,,,,,0,,0,0,,4,,,,,,,,,,,
Lucas Chávez,"FW,MF",Bolivia,20,2003,2,33,17,12.2,0.4,0,,0,2,17,1,0.00,0,4,-4,-10.91,-9.01,0.0,1.1,-1.1,-2.99,-1.25
Luis Chávez,MF,Mexico,28,1996,3,257,86,95.2,2.9,3,86,2,0,,0,1.33,1,1,0,0.00,0.00,4.7,2.0,+2.7,+0.94,+1.21
Mathieu Choiniere,MF,Canada,24,1999,2,109,55,20.2,1.2,1,90,1,1,19,4,0.50,2,2,0,0.00,+0.63,2.2,1.6,+0.6,+0.51,+0.72
José Cifuentes,MF,Ecuador,24,1999,0,,,,,0,,0,0,,4,,,,,,,,,,,
Anthony Contreras,FW,Costa Rica,24,2000,1,13,13,4.8,0.1,0,,0,1,13,2,3.00,0,0,0,0.00,+0.70,0.0,0.6,-0.6,-4.00,-2.40
José Contreras Verna,GK,Venezuela,29,1994,0,,,,,0,,0,0,,4,,,,,,,,,,,
Jhon Córdoba,FW,Colombia,30,1993,6,414,69,72.6,4.6,5,78,0,1,23,0,2.17,9,2,+7,+1.52,+0.37,6.9,1.9,+5.0,+1.10,+0.60
José Cordoba,DF,Panama,22,2001,4,360,90,100.0,4.0,4,90,4,0,,0,1.50,6,10,-4,-1.00,,3.1,5.6,-2.5,-0.63,
Derek Cornelius,DF,Canada,26,1997,6,429,72,79.4,4.8,5,81,4,1,24,0,1.00,2,6,-4,-0.84,-1.65,5.1,8.0,-2.9,-0.62,-2.71
Carlos Coronel,GK,Paraguay,27,1996,0,,,,,0,,0,0,,3,,,,,,,,,,,
Janner Corozo,FW,Ecuador,28,1995,1,1,1,0.3,0.0,0,,0,1,1,3,3.00,0,0,0,0.00,-0.25,0.0,0.0,0.0,0.00,-0.29
Brayan Cortés,GK,Chile,28,1995,0,,,,,0,,0,0,,3,,,,,,,,,,,
Jordi Cortizo,FW,Mexico,27,1996,1,5,5,1.9,0.1,0,,0,1,5,2,1.00,0,0,0,0.00,0.00,0.1,0.0,+0.1,+1.91,+1.04
Aldo Corzo,DF,Peru,34,1989,1,90,90,33.3,1.0,1,90,1,0,,2,0.00,0,2,-2,-2.00,-1.50,0.1,2.3,-2.2,-2.16,-1.53
Yan Couto,"DF,MF",Brazil,21,2002,0,,,,,0,,0,0,,4,,,,,,,,,,,
Maxime Crépeau,GK,Canada,29,1994,5,450,90,83.3,5.0,5,90,5,0,,1,1.00,2,5,-3,-0.60,-0.60,6.5,7.2,-0.7,-0.14,-0.47
Aarón Cruz,GK,Costa Rica,32,1991,0,,,,,0,,0,0,,3,,,,,,,,,,,
Andrés Cubas,MF,Paraguay,27,1996,2,170,85,63.0,1.9,2,85,1,0,,0,0.00,2,6,-4,-2.12,-1.22,1.6,4.5,-2.8,-1.51,-2.20
Héctor Cuellar,DF,Bolivia,23,2000,3,225,75,83.3,2.5,2,90,2,1,45,0,0.00,1,8,-7,-2.80,+1.20,0.9,6.1,-5.3,-2.10,-1.22
Jaume Cuéllar,FW,Bolivia,22,2001,1,17,17,6.3,0.2,0,,0,1,17,2,0.00,0,3,-3,-15.88,-13.75,0.0,0.8,-0.8,-4.07,-2.32
Carlos Cuesta,DF,Colombia,24,1999,5,480,96,84.2,5.3,5,96,5,0,,1,2.00,10,2,+8,+1.50,+0.50,8.7,2.7,+6.0,+1.20,+1.27
Christian Cueva,"MF,FW",Peru,32,1991,2,26,13,9.6,0.3,0,,0,2,13,1,0.00,0,1,-1,-3.46,-2.72,0.4,1.3,-0.9,-3.27,-2.37
Danilo,DF,Brazil,32,1991,4,360,90,100.0,4.0,4,90,4,0,,0,1.50,5,2,+3,+0.75,,6.3,3.2,+3.2,+0.79,
Jonathan David,"MF,FW",Canada,24,2000,6,446,74,82.6,5.0,5,84,3,1,24,0,1.00,3,6,-3,-0.61,-0.61,6.4,8.3,-2.0,-0.39,-1.91
Álvaro David Montero,GK,Colombia,28,1995,0,,,,,0,,0,0,,6,,,,,,,,,,,
Alphonso Davies,DF,Canada,23,2000,6,459,77,85.0,5.1,5,86,4,1,29,0,1.00,3,6,-3,-0.59,-0.59,6.4,8.3,-1.9,-0.37,-2.08
Víctor Dávila,FW,Chile,26,1997,3,230,77,85.2,2.6,3,77,1,0,,0,0.67,0,1,-1,-0.39,-0.39,1.5,3.7,-2.3,-0.88,+0.55
Erick Davis,DF,Panama,32,1991,4,352,88,97.8,3.9,4,88,3,0,,0,1.50,6,9,-3,-0.77,+10.48,3.0,4.8,-1.8,-0.46,+7.50
Shaquan Davis,GK,Jamaica,23,2000,0,,,,,0,,0,0,,3,,,,,,,,,,,
Giorgian De Arrascaeta,"MF,FW",Uruguay,29,1994,5,164,33,30.4,1.8,1,59,0,4,26,1,1.60,3,1,+2,+1.10,-0.10,3.3,1.7,+1.6,+0.85,+0.17
Luc De Fougerolles,DF,Canada,18,2005,1,66,66,12.2,0.7,1,66,0,0,,5,1.00,1,1,0,0.00,+0.57,1.7,0.4,+1.3,+1.79,+2.11
Nicolás De La Cruz,MF,Uruguay,26,1997,5,352,70,65.2,3.9,4,80,0,1,31,0,2.00,7,2,+5,+1.28,+0.32,5.7,1.7,+4.0,+1.03,+0.84
Rodrigo De Paul,MF,Argentina,29,1994,5,480,96,84.2,5.3,5,96,5,0,,1,2.60,7,1,+6,+1.13,-0.87,9.6,4.8,+4.8,+0.95,-0.66
Ángel Di María,"MF,FW",Argentina,35,1988,5,354,71,62.1,3.9,4,84,0,1,18,1,3.00,6,0,+6,+1.53,+0.69,7.2,2.6,+4.6,+1.16,+0.19
Ismael Díaz,MF,Panama,26,1997,1,6,6,1.7,0.1,0,,0,1,6,3,0.00,0,1,-1,-15.00,-14.24,0.0,0.8,-0.8,-11.83,-11.39
Luis Díaz,FW,Colombia,27,1997,6,507,85,88.9,5.6,6,85,1,0,,0,2.17,10,2,+8,+1.42,-0.01,7.8,2.7,+5.1,+0.91,-0.23
Paulo Díaz,DF,Chile,29,1994,2,180,90,66.7,2.0,2,90,2,0,,1,0.50,0,1,-1,-0.50,-0.50,1.1,3.5,-2.3,-1.17,-0.61
Kaheim Dixon,"MF,FW",Jamaica,19,2004,3,64,21,23.7,0.7,0,,0,3,21,0,0.00,0,4,-4,-5.63,-4.75,0.2,2.1,-1.9,-2.72,-2.02
Alexander Domínguez,GK,Ecuador,36,1987,4,360,90,100.0,4.0,4,90,4,0,,0,1.25,5,4,+1,+0.25,,5.4,4.2,+1.2,+0.29,
Jhon Durán,FW,Colombia,20,2003,1,14,14,2.5,0.2,0,,0,1,14,5,3.00,0,0,0,0.00,-1.46,0.0,0.0,0.0,-0.09,-1.04
Rodrigo Echeverría,MF,Chile,28,1995,3,177,59,65.6,2.0,2,86,1,1,6,0,0.67,0,1,-1,-0.51,-0.51,0.7,3.5,-2.8,-1.40,-1.26
Éderson,MF,Brazil,24,1999,1,18,18,5.0,0.2,0,,0,1,18,3,1.00,0,0,0,0.00,-0.79,0.1,0.5,-0.4,-2.17,-3.11
Jorge Eduardo Sánchez,DF,Mexico,26,1997,3,270,90,100.0,3.0,3,90,3,0,,0,1.33,1,1,0,0.00,,4.7,2.1,+2.6,+0.88,
Julio Enciso,"FW,MF",Paraguay,20,2004,3,251,84,93.0,2.8,3,84,1,0,,0,0.00,3,8,-5,-1.79,-1.79,2.8,4.7,-2.0,-0.70,-0.17
