Player,Pos,Squad,Age,Born,MP,Min,Min/MP,Min%,90s,Starts,Min/Start,MatchesCompleted,Subs,Min/Sub,unusedSub,PointsPerMatch,onGoalScored,onGoalAgainst,+/-,+/-/90,On-Off,onPitchxG,onPitchxGA,xG+/-,xG+/-/90,xGOn-Off
Endrick,FW,Brazil,17,2006,4,127,32,35.3,1.4,1,90,1,3,12,0,1.50,0,0,0,0.00,-1.16,1.1,0.9,+0.2,+0.11,-1.05
Matías Espinoza,DF,Paraguay,26,1997,2,162,81,60.0,1.8,2,81,1,0,,0,0.00,2,6,-4,-2.22,-1.39,1.6,4.4,-2.8,-1.54,-2.12
Stephen Eustáquio,MF,Canada,27,1996,5,431,86,79.8,4.8,5,86,4,0,,1,1.00,2,5,-3,-0.63,-0.63,6.2,7.2,-1.0,-0.21,-0.72
Evanilson,MF,Brazil,24,1999,1,4,4,1.1,0.0,0,,0,1,4,3,1.00,0,0,0,0.00,-0.76,0.0,0.0,0.0,-0.88,-1.69
Fernán Faerrón,DF,Costa Rica,23,2000,0,,,,,0,,0,0,,3,,,,,,,,,,,
José Fajardo,"FW,MF",Panama,30,1993,4,295,74,81.9,3.3,3,83,0,1,45,0,1.50,3,6,-3,-0.92,+0.47,2.4,4.4,-1.9,-0.58,+0.25
Edgardo Fariña,DF,Panama,22,2001,4,360,90,100.0,4.0,4,90,4,0,,0,1.50,6,10,-4,-1.00,,3.1,5.6,-2.5,-0.63,
Enzo Fernández,MF,Argentina,23,2001,5,351,70,61.6,3.9,4,82,1,1,25,1,2.60,4,0,+4,+1.03,-0.62,6.5,3.0,+3.5,+0.91,-0.48
Nicolás Fernández,DF,Chile,24,1999,1,4,4,1.5,0.0,0,,0,1,4,2,0.00,0,1,-1,-22.50,-22.50,0.0,0.9,-0.9,-20.64,-19.97
Nahuel Ferraresi,DF,Venezuela,25,1998,3,270,90,75.0,3.0,3,90,3,0,,1,2.33,4,2,+2,+0.67,-2.33,3.7,5.3,-1.6,-0.54,-1.98
Edison Flores,"FW,MF",Peru,29,1994,3,186,62,68.9,2.1,3,62,0,0,,0,0.33,0,1,-1,-0.48,+1.66,0.8,2.0,-1.2,-0.60,+1.72
Marcelo Flores,MF,Mexico,20,2003,0,,,,,0,,0,0,,3,,,,,,,,,,,
Alan Franco,MF,Ecuador,25,1998,4,344,86,95.6,3.8,4,86,2,0,,0,1.25,4,4,0,0.00,-5.63,4.8,4.2,+0.7,+0.18,-2.63
Thomas Galdames,DF,Chile,25,1998,1,61,61,22.6,0.7,0,,0,1,61,2,1.00,0,0,0,0.00,+0.43,0.4,0.9,-0.5,-0.71,+0.33
Hernán Galíndez,GK,Ecuador,36,1987,0,,,,,0,,0,0,,4,,,,,,,,,,,
Pedro Gallese,GK,Peru,33,1990,3,270,90,100.0,3.0,3,90,3,0,,0,0.33,0,3,-3,-1.00,,1.7,5.1,-3.4,-1.13,
Orlando Galo,MF,Costa Rica,23,2000,3,270,90,100.0,3.0,3,90,3,0,,0,1.33,2,4,-2,-0.67,,0.6,5.7,-5.1,-1.72,
Brian García,DF,Mexico,26,1997,0,,,,,0,,0,0,,3,,,,,,,,,,,
Alejandro Garnacho,FW,Argentina,19,2004,1,65,65,11.4,0.7,1,65,0,0,,5,3.00,1,0,+1,+1.38,+0.14,0.9,0.0,+0.9,+1.24,+0.17
Néstor Giménez,DF,Paraguay,26,1997,2,108,54,40.0,1.2,1,90,1,1,18,1,0.00,1,2,-1,-0.83,+1.39,1.2,0.5,+0.7,+0.58,+2.12
Santiago Giménez,FW,Mexico,22,2001,3,217,72,80.4,2.4,3,72,1,0,,0,1.33,0,1,-1,-0.41,-2.11,3.1,1.9,+1.2,+0.49,-2.02
João Gomes,MF,Brazil,22,2001,4,324,81,90.0,3.6,4,81,1,0,,0,1.50,5,2,+3,+0.83,+0.83,6.1,2.7,+3.4,+0.95,+1.62
Gustavo Gómez,DF,Paraguay,30,1993,0,,,,,0,,0,0,,3,,,,,,,,,,,
Freddy Góndola,MF,Panama,28,1995,3,45,15,12.5,0.5,0,,0,3,15,1,2.00,3,2,+1,+2.00,+3.43,0.5,1.2,-0.7,-1.34,-0.81
Alexander González,DF,Venezuela,31,1992,2,180,90,50.0,2.0,2,90,2,0,,2,3.00,5,1,+4,+2.00,+1.50,3.6,1.4,+2.2,+1.10,+2.29
Bryan González,DF,Mexico,20,2003,0,,,,,0,,0,0,,3,,,,,,,,,,,
Derlis González,MF,Paraguay,29,1994,1,8,8,3.0,0.1,0,,0,1,8,2,0.00,0,0,0,0.00,+1.72,0.6,0.0,+0.6,+6.51,+7.42
Nicolás González,"MF,FW",Argentina,25,1998,5,255,51,44.7,2.8,2,81,1,3,31,1,2.60,3,1,+2,+0.71,-1.01,4.4,2.5,+1.9,+0.75,-0.56
Joel Graterol,GK,Venezuela,26,1997,0,,,,,0,,0,0,,4,,,,,,,,,,,
Demarai Gray,"MF,FW",Jamaica,27,1996,3,198,66,73.3,2.2,2,77,0,1,45,0,0.00,1,4,-3,-1.36,+2.39,1.6,3.5,-1.9,-0.86,+1.23
Joao Grimaldo,MF,Peru,20,2003,1,20,20,7.4,0.2,0,,0,1,20,2,1.00,0,0,0,0.00,+1.08,0.5,0.1,+0.4,+1.65,+3.01
Carlos Gruezo,"MF,FW",Ecuador,28,1995,4,124,31,34.4,1.4,1,78,0,3,15,0,1.25,1,3,-2,-1.45,-2.60,2.1,1.6,+0.5,+0.38,+0.13
Eduardo Guerrero,FW,Panama,23,2000,4,114,29,31.7,1.3,1,45,0,3,23,0,1.50,4,5,-1,-0.79,+0.31,1.0,1.4,-0.4,-0.32,+0.45
Maximiliano Guerrero,FW,Chile,24,2000,0,,,,,0,,0,0,,3,,,,,,,,,,,
Paolo Guerrero,FW,Peru,40,1984,3,96,32,35.6,1.1,1,55,0,2,21,0,0.33,0,2,-2,-1.87,-1.36,0.8,2.1,-1.3,-1.26,-0.20
Bruno Guimarães,MF,Brazil,26,1997,4,332,83,92.2,3.7,4,83,1,0,,0,1.50,5,2,+3,+0.81,+0.81,6.2,3.1,+3.1,+0.84,+0.63
Luis Haquín,DF,Bolivia,26,1997,3,270,90,100.0,3.0,3,90,3,0,,0,0.00,1,10,-9,-3.00,,1.0,6.6,-5.7,-1.90,
Wes Harding,DF,Jamaica,27,1996,1,66,66,24.4,0.7,1,66,0,0,,2,0.00,0,2,-2,-2.73,-0.96,0.4,1.3,-0.9,-1.20,-0.03
Carlos Harvey,DF,Panama,23,2000,2,118,59,32.8,1.3,1,73,0,1,45,2,1.50,1,3,-2,-1.53,-0.78,1.2,1.3,-0.2,-0.13,+0.75
Michael Hector,DF,Jamaica,31,1992,3,158,53,58.5,1.8,1,90,1,2,34,0,0.00,1,5,-4,-2.28,-0.67,1.3,2.8,-1.6,-0.89,+0.71
Yangel Herrera,MF,Venezuela,26,1998,4,326,82,90.6,3.6,4,82,1,0,,0,2.50,6,2,+4,+1.10,-1.54,4.9,5.1,-0.2,-0.06,-0.15
Kyle Hiebert,DF,Canada,26,1997,0,,,,,0,,0,0,,6,,,,,,,,,,,
Piero Hincapié,DF,Ecuador,22,2002,4,360,90,100.0,4.0,4,90,4,0,,0,1.25,5,4,+1,+0.25,,5.4,4.2,+1.2,+0.29,
Ethan Horvath,GK,United States,28,1995,1,45,45,16.7,0.5,0,,0,1,45,2,0.00,0,1,-1,-2.00,-2.40,0.9,0.4,+0.6,+1.16,+0.75
César Huerta,"FW,MF",Mexico,23,2000,2,84,42,31.1,0.9,1,66,0,1,18,1,0.50,0,0,0,0.00,0.00,2.3,0.3,+2.0,+2.15,+1.84
José Hurtado,DF,Ecuador,22,2001,1,1,1,0.3,0.0,0,,0,1,1,3,1.00,0,0,0,0.00,-0.25,0.0,0.1,-0.1,-9.53,-9.85
Mauricio Isla,DF,Chile,35,1988,3,266,89,98.5,3.0,3,89,2,0,,0,0.67,0,0,0,0.00,+22.50,1.6,3.6,-2.0,-0.67,+19.97
Franco Israel,GK,Uruguay,23,2000,0,,,,,0,,0,0,,6,,,,,,,,,,,
Julio Joao Ortíz,MF,Ecuador,27,1996,0,,,,,0,,0,0,,4,,,,,,,,,,,
Sean Johnson,GK,United States,34,1989,0,,,,,0,,0,0,,3,,,,,,,,,,,
Alistair Johnston,DF,Canada,25,1998,6,511,85,94.6,5.7,6,85,5,0,,0,1.00,3,6,-3,-0.53,-0.53,8.1,7.5,+0.6,+0.10,+2.94
Julio José González,GK,Mexico,32,1991,3,270,90,100.0,3.0,3,90,3,0,,0,1.33,1,1,0,0.00,,4.7,2.1,+2.6,+0.88,
Vinicius Júnior,FW,Brazil,23,2000,3,250,83,69.4,2.8,3,83,2,0,,0,1.67,5,2,+3,+1.08,+1.08,5.3,2.3,+3.0,+1.09,+0.99
Adrian Jusino,DF,Bolivia,31,1992,0,,,,,0,,0,0,,3,,,,,,,,,,,
Leonel Justiniano,MF,Bolivia,31,1992,2,73,37,27.0,0.8,1,45,0,1,28,1,0.00,1,4,-3,-3.70,-0.96,0.6,1.2,-0.6,-0.71,+1.63
Kaku,"FW,MF",Paraguay,29,1995,2,35,18,13.0,0.4,0,,0,2,18,1,0.00,0,0,0,0.00,+1.91,0.6,0.1,+0.5,+1.35,+2.35
Richard King,DF,Jamaica,22,2001,1,4,4,1.5,0.0,0,,0,1,4,2,0.00,0,0,0,0.00,+2.03,0.0,0.0,0.0,-0.52,+0.67
Ismaël Koné,MF,Canada,21,2002,5,319,64,59.1,3.5,4,77,2,1,10,1,1.00,2,5,-3,-0.85,-0.85,4.2,6.2,-2.0,-0.58,-1.26
Benjamín Kuscevic,DF,Chile,27,1996,0,,,,,0,,0,0,,3,,,,,,,,,,,
Luca de la Torre,MF,United States,25,1998,1,13,13,4.8,0.1,0,,0,1,13,2,3.00,0,0,0,0.00,0.00,1.1,0.0,+1.1,+7.38,+7.19
Matías Lacava,MF,Venezuela,21,2002,1,7,7,1.9,0.1,0,,0,1,7,3,1.00,0,0,0,0.00,-1.27,0.0,0.1,-0.1,-1.85,-1.84
Kevon Lambert,"DF,MF",Jamaica,26,1997,0,,,,,0,,0,0,,3,,,,,,,,,,,
Carlos Lampe,GK,Bolivia,36,1987,0,,,,,0,,0,0,,3,,,,,,,,,,,
Gianluca Lapadula,FW,Peru,33,1990,3,194,65,71.9,2.2,2,80,1,1,35,0,0.33,0,1,-1,-0.46,+1.90,1.4,3.1,-1.7,-0.78,+1.25
Cyle Larin,FW,Canada,28,1995,5,396,79,73.3,4.4,5,79,1,0,,1,1.00,2,4,-2,-0.45,+0.17,4.9,5.3,-0.4,-0.08,-0.09
Richie Laryea,"DF,FW",Canada,29,1995,6,366,61,67.8,4.1,5,71,1,1,11,0,1.00,3,6,-3,-0.74,-0.74,4.5,6.5,-2.0,-0.49,-1.34
Ariel Lassiter,DF,Costa Rica,29,1994,2,134,67,49.6,1.5,2,67,0,0,,1,0.50,0,1,-1,-0.67,-0.01,0.1,3.9,-3.8,-2.55,-1.65
Joël Latibeaudière,"DF,MF",Jamaica,24,2000,3,259,86,95.9,2.9,3,86,1,0,,0,0.00,1,6,-5,-1.74,+6.44,1.8,4.8,-3.1,-1.07,+2.76
Greg Leigh,DF,Jamaica,29,1994,2,180,90,66.7,2.0,2,90,2,0,,0,0.00,1,4,-3,-1.50,+1.50,1.3,3.4,-2.1,-1.05,+0.38
Dexter Lembikisa,DF,Jamaica,20,2003,2,177,89,65.6,2.0,2,89,1,0,,1,0.00,1,3,-2,-1.02,+2.85,1.3,2.9,-1.7,-0.84,+0.97
Kahiser Lenis,MF,Panama,23,2000,2,47,24,13.1,0.5,0,,0,2,24,2,1.50,3,2,+1,+1.91,+3.35,1.0,0.6,+0.4,+0.86,+1.71
Jefferson Lerma,MF,Colombia,29,1994,5,422,84,74.0,4.7,5,84,2,0,,0,2.00,7,1,+6,+1.28,-0.54,6.4,2.3,+4.1,+0.86,-0.26
Igor Lichnovsky,DF,Chile,29,1994,3,270,90,100.0,3.0,3,90,3,0,,0,0.67,0,1,-1,-0.33,,1.6,4.5,-2.9,-0.96,
Giovani Lo Celso,MF,Argentina,27,1996,5,152,30,26.7,1.7,1,65,0,4,22,1,2.60,4,1,+3,+1.78,+0.70,4.1,0.8,+3.3,+2.33,+1.60
Layan Loor,DF,Ecuador,22,2001,0,,,,,0,,0,0,,4,,,,,,,,,,,
Marcos López,DF,Peru,24,1999,3,222,74,82.2,2.5,2,83,1,1,56,0,0.33,0,2,-2,-0.81,+1.06,1.5,3.8,-2.2,-0.91,+1.24
Damion Lowe,"MF,DF",Jamaica,30,1993,3,158,53,58.5,1.8,2,68,1,1,23,0,0.00,0,6,-6,-3.42,-3.42,0.7,3.7,-3.1,-1.74,-1.35
Jhon Lucumí,DF,Colombia,25,1998,1,25,25,4.4,0.3,1,25,0,0,,2,3.00,0,0,0,0.00,-1.49,0.1,0.4,-0.3,-1.07,-2.09
José Luis Rodríguez,MF,Panama,25,1998,1,83,83,23.1,0.9,1,83,0,0,,0,0.00,0,1,-1,-1.08,-0.11,0.5,1.2,-0.8,-0.83,-0.26
Douglas Luiz,MF,Brazil,25,1998,3,34,11,9.4,0.4,0,,0,3,11,1,1.67,0,0,0,0.00,-0.83,0.2,0.1,+0.1,+0.24,-0.61
Kristoffer Lund,DF,United States,21,2002,0,,,,,0,,0,0,,3,,,,,,,,,,,
Alexis Mac Allister,MF,Argentina,25,1998,5,443,89,77.7,4.9,5,89,3,0,,1,2.60,6,1,+5,+1.02,-1.11,9.2,4.2,+4.9,+1.00,-0.41
Deiver Machado,DF,Colombia,30,1993,1,45,45,7.9,0.5,1,45,0,0,,5,1.00,1,1,0,0.00,-1.54,0.6,0.1,+0.5,+1.02,+0.09
Darwin Machís,FW,Venezuela,30,1993,3,124,41,34.4,1.4,2,52,0,1,20,0,3.00,2,1,+1,+0.73,-0.80,2.3,2.6,-0.2,-0.17,-0.18
Warren Madrigal,"FW,MF",Costa Rica,19,2004,3,186,62,68.9,2.1,2,80,0,1,27,0,1.33,2,4,-2,-0.97,-0.97,0.5,3.9,-3.3,-1.62,+0.32
Gabriel Magalhães,DF,Brazil,26,1997,1,4,4,1.1,0.0,0,,0,1,4,3,3.00,0,0,0,0.00,-0.76,0.0,0.0,0.0,+0.64,-0.15
Christian Makoun,DF,Venezuela,23,2000,2,12,6,3.3,0.1,0,,0,2,6,2,3.00,1,0,+1,+7.50,+6.47,0.6,0.6,0.0,-0.36,-0.32
Jesús Manuel Sagredo,DF,Bolivia,29,1994,1,90,90,33.3,1.0,1,90,1,0,,2,0.00,0,2,-2,-2.00,+1.50,0.2,2.5,-2.3,-2.33,-0.64
José María Giménez,DF,Uruguay,29,1995,5,302,60,55.9,3.4,2,90,2,3,41,1,1.60,4,4,0,0.00,-2.65,3.7,4.4,-0.7,-0.20,-2.12
Nicolas Marichal,DF,Uruguay,22,2001,0,,,,,0,,0,0,,6,,,,,,,,,,,
Guillermo Maripán,DF,Chile,29,1994,1,90,90,33.3,1.0,1,90,1,0,,2,1.00,0,0,0,0.00,+0.50,0.5,1.1,-0.6,-0.56,+0.61
Marquinhos,DF,Brazil,29,1994,4,360,90,100.0,4.0,4,90,4,0,,0,1.50,5,2,+3,+0.75,,6.3,3.2,+3.2,+0.79,
Alex Marshall,MF,Jamaica,25,1998,1,4,4,1.5,0.0,0,,0,1,4,2,0.00,0,0,0,0.00,+2.03,0.0,0.0,0.0,-0.69,+0.49
Gabriel Martinelli,FW,Brazil,22,2001,2,12,6,3.3,0.1,0,,0,2,6,2,1.00,0,0,0,0.00,-0.78,0.2,0.0,+0.1,+1.08,+0.31
Guillermo Martínez Ayala,"FW,MF",Mexico,28,1995,3,77,26,28.5,0.9,0,,0,3,26,0,1.33,1,0,+1,+1.17,+1.64,1.8,0.3,+1.5,+1.71,+1.15
Cristian Martínez,MF,Panama,26,1997,4,273,68,75.8,3.0,4,68,0,0,,0,1.50,2,6,-4,-1.32,-1.32,2.1,3.3,-1.2,-0.40,+0.94
Emiliano Martínez,MF,Uruguay,24,1999,0,,,,,0,,0,0,,6,,,,,,,,,,,
Emiliano Martínez,GK,Argentina,31,1992,6,570,95,100.0,6.3,6,95,6,0,,0,2.67,9,1,+8,+1.26,,11.8,4.9,+6.9,+1.15,+1.15
Lautaro Martínez,FW,Argentina,26,1997,6,224,37,39.3,2.5,2,77,1,4,18,0,2.67,6,0,+6,+2.41,+1.89,6.0,2.1,+3.9,+1.75,+1.01
Lisandro Martínez,DF,Argentina,26,1998,5,467,93,81.9,5.2,5,93,4,0,,1,2.60,7,0,+7,+1.35,+0.48,9.6,4.4,+5.1,+1.06,-0.14
Lucas Martínez Quarta,DF,Argentina,27,1996,1,8,8,1.4,0.1,0,,0,1,8,5,3.00,1,0,+1,+11.25,+10.13,0.5,0.1,+0.4,+4.69,+3.65
Thomas Mcgill,GK,Canada,23,2000,0,,,,,0,,0,0,,6,,,,,,,,,,,
Weston McKennie,MF,United States,25,1998,3,257,86,95.2,2.9,3,86,2,0,,0,1.00,3,3,0,0.00,0.00,3.0,2.4,+0.5,+0.19,-7.19
Mark McKenzie,DF,United States,24,1999,0,,,,,0,,0,0,,3,,,,,,,,,,,
Diego Medina,"FW,MF",Bolivia,22,2002,2,63,32,23.3,0.7,1,46,0,1,17,1,0.00,0,5,-5,-7.14,-5.40,0.1,1.3,-1.2,-1.75,+0.19
Luis Mejía,GK,Panama,32,1991,0,,,,,0,,0,0,,4,,,,,,,,,,,
Santiago Mele,GK,Uruguay,26,1997,0,,,,,0,,0,0,,6,,,,,,,,,,,
Ángel Mena,"FW,MF",Ecuador,36,1988,2,26,13,7.2,0.3,0,,0,2,13,2,1.00,1,0,+1,+3.46,+3.46,0.5,0.1,+0.4,+1.33,+1.12
Cesar Menacho,FW,Bolivia,24,1999,1,45,45,16.7,0.5,1,45,0,0,,2,0.00,0,2,-2,-4.00,-1.20,0.1,0.5,-0.4,-0.88,+1.22
Lionel Messi,FW,Argentina,36,1987,5,425,85,74.6,4.7,5,85,4,0,,1,2.60,6,1,+5,+1.06,-0.80,9.0,4.4,+4.5,+0.96,-0.53
Andrés Micolta,DF,Ecuador,24,1999,0,,,,,0,,0,0,,4,,,,,,,,,,,
Éder Militão,DF,Brazil,26,1998,4,356,89,98.9,4.0,4,89,3,0,,0,1.50,5,2,+3,+0.76,+0.76,6.3,3.2,+3.1,+0.79,+0.15
Liam Millar,"FW,MF",Canada,24,1999,6,234,39,43.3,2.6,2,65,0,4,26,0,1.00,1,3,-2,-0.77,-0.48,2.8,4.1,-1.4,-0.52,-0.82
Kamal Miller,DF,Canada,26,1997,2,46,23,8.5,0.5,0,,0,2,23,4,2.00,1,0,+1,+1.96,+2.69,1.6,0.3,+1.3,+2.45,+2.75
Roderick Miller,DF,Panama,31,1992,3,225,75,62.5,2.5,3,75,2,0,,1,1.00,3,7,-4,-1.60,-1.60,1.6,4.0,-2.5,-0.98,-0.94
Yerry Mina,DF,Colombia,29,1994,2,81,41,14.2,0.9,0,,0,2,41,4,3.00,2,1,+1,+1.11,-0.36,1.2,0.8,+0.5,+0.51,-0.50
Alan Minda,"FW,MF",Ecuador,20,2003,4,78,20,21.7,0.9,0,,0,4,20,0,1.25,2,0,+2,+2.31,+2.63,1.4,0.5,+0.9,+1.05,+0.97
Bruno Miranda,"FW,DF",Bolivia,25,1998,2,94,47,34.8,1.0,1,66,0,1,28,1,0.00,1,4,-3,-2.87,+0.20,0.6,1.9,-1.2,-1.16,+1.13
Jeyland Mitchell,DF,Costa Rica,19,2004,3,270,90,100.0,3.0,3,90,3,0,,0,1.33,2,4,-2,-0.67,,0.6,5.7,-5.1,-1.72,
Johan Mojica,DF,Colombia,31,1992,6,525,88,92.1,5.8,5,96,5,1,45,0,2.17,11,2,+9,+1.54,+1.54,8.8,3.4,+5.4,+0.98,+0.37
Nahuel Molina,DF,Argentina,25,1998,5,328,66,57.5,3.6,3,86,0,2,35,1,2.60,4,1,+3,+0.82,-1.04,6.0,3.3,+2.7,+0.81,-0.58
Yeison Molina,DF,Costa Rica,25,1998,0,,,,,0,,0,0,,3,,,,,,,,,,,
César Montes,DF,Mexico,26,1997,3,225,75,83.3,2.5,3,75,2,0,,0,1.33,1,0,+1,+0.40,+2.40,3.2,1.0,+2.2,+0.88,-0.02
Gonzalo Montiel,DF,Argentina,27,1997,6,242,40,42.5,2.7,3,77,1,3,4,0,2.67,5,0,+5,+1.86,+1.04,5.8,1.6,+4.2,+1.57,+0.83
Shaq Moore,"DF,MF",United States,27,1996,0,,,,,0,,0,0,,3,,,,,,,,,,,
Joseph Mora,DF,Costa Rica,31,1993,3,133,44,49.3,1.5,1,87,0,2,23,0,1.33,2,3,-1,-0.68,-0.02,0.5,1.3,-0.9,-0.60,+2.21
Rodrigo Morínigo,GK,Paraguay,25,1998,3,270,90,100.0,3.0,3,90,3,0,,0,0.00,3,8,-5,-1.67,,2.8,4.9,-2.1,-0.69,
Orlando Mosquera,GK,Panama,29,1994,4,360,90,100.0,4.0,4,90,4,0,,0,1.50,6,10,-4,-1.00,,3.1,5.6,-2.5,-0.63,
Daniel Muñoz,DF,Colombia,27,1996,5,386,77,67.7,4.3,5,77,3,0,,0,2.60,11,2,+9,+2.10,+2.10,6.9,1.8,+5.2,+1.20,+0.85
Yunus Musah,MF,United States,21,2002,2,116,58,43.0,1.3,1,71,0,1,45,1,1.50,0,1,-1,-0.78,-1.36,2.1,1.5,+0.6,+0.48,-0.11
Nahitan Nández,DF,Uruguay,28,1995,5,433,87,80.2,4.8,5,87,4,0,,0,2.20,11,3,+8,+1.66,+2.50,8.4,3.5,+4.9,+1.01,+1.39
Miguel Navarro,DF,Venezuela,24,1999,3,270,90,75.0,3.0,3,90,3,0,,1,2.33,4,2,+2,+0.67,-2.33,3.7,5.3,-1.6,-0.54,-1.98
Shamar Nicholson,"FW,MF",Jamaica,26,1997,3,196,65,72.6,2.2,2,86,1,1,24,0,0.00,1,4,-3,-1.38,+2.27,1.3,3.5,-2.2,-1.02,+0.59
Darwin Núñez,FW,Uruguay,24,1999,6,472,79,87.4,5.2,6,79,2,0,,0,1.83,9,3,+6,+1.14,-0.18,7.4,3.9,+3.5,+0.66,-0.57
Marcelino Núñez,MF,Chile,23,2000,3,144,48,53.3,1.6,2,65,0,1,15,0,0.67,0,1,-1,-0.62,-0.62,1.1,2.6,-1.5,-0.93,+0.07
Brian Ocampo,MF,Uruguay,24,1999,0,,,,,0,,0,0,,6,,,,,,,,,,,
Lucas Olaza,DF,Uruguay,29,1994,2,33,17,6.1,0.4,0,,0,2,17,4,2.00,2,1,+1,+2.73,+1.66,1.5,0.2,+1.4,+3.68,+3.14
Cristian Olivera,"FW,DF",Uruguay,21,2002,4,144,36,26.7,1.6,0,,0,4,36,2,1.75,3,1,+2,+1.25,+0.11,3.6,1.4,+2.2,+1.38,+0.87
Mathías Olivera,DF,Uruguay,26,1997,5,374,75,69.3,4.2,5,75,3,0,,1,2.00,7,1,+6,+1.44,+0.90,6.7,2.0,+4.7,+1.13,+1.28
