Player,Pos,Squad,Age,Born,MatchesPlayed,Starts,Min,90s,Goals,Assists,G+A,G-PK,PK,PKattempted,CardY,CardR,xG,npxG,xAG,npxG+xAG,PrgCarries,PrgPasses,PrgReceived,G/90,A/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90
Paweł Dawidowicz,DF,Poland,28,1995,2,2,180,2.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05
Kevin De Bruyne,MF,Belgium,32,1991,4,4,360,4.0,1,0,1,1,0,0,0,0,0.9,0.9,1.6,2.5,7,28,21,0.25,0.00,0.25,0.25,0.25,0.21,0.40,0.61,0.21,0.61
Charles De Ketelaere,FW,Belgium,22,2001,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Zeno Debast,DF,Belgium,20,2003,2,1,104,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.09,0.00,0.09
Thomas Delaney,MF,Denmark,32,1991,3,1,84,0.9,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,2,4,4,0.00,0.00,0.00,0.00,0.00,0.12,0.25,0.37,0.12,0.37
Ousmane Dembélé,"FW,MF",France,26,1997,5,4,361,4.0,0,0,0,0,0,0,1,0,0.5,0.5,1.2,1.7,32,14,46,0.00,0.00,0.00,0.00,0.00,0.15,0.32,0.47,0.15,0.47
Merih Demiral,DF,Türkiye,25,1998,4,2,208,2.3,2,0,2,2,0,0,0,0,0.7,0.7,0.0,0.7,0,4,0,0.87,0.00,0.87,0.87,0.87,0.32,0.01,0.32,0.32,0.32
Giovanni Di Lorenzo,"DF,FW",Italy,30,1993,4,4,360,4.0,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,4,23,9,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04
Rúben Dias,DF,Portugal,26,1997,4,4,420,4.7,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,6,22,4,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04
Federico Dimarco,"DF,FW",Italy,26,1997,3,3,228,2.5,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,6,5,13,0.00,0.00,0.00,0.00,0.00,0.02,0.10,0.12,0.02,0.12
Berat Djimsiti,DF,Albania,30,1993,3,3,270,3.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,6,0,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.04,0.03,0.04
Jeremy Doku,"FW,MF",Belgium,21,2002,4,4,320,3.6,0,0,0,0,0,0,0,0,0.2,0.2,0.6,0.8,30,10,31,0.00,0.00,0.00,0.00,0.00,0.06,0.17,0.23,0.06,0.23
Kasper Dolberg,FW,Denmark,26,1997,2,0,40,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Gianluigi Donnarumma,GK,Italy,24,1999,4,4,360,4.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
David Doudera,FW,Czechia,25,1998,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Artem Dovbyk,FW,Ukraine,26,1997,3,3,246,2.7,0,0,0,0,0,0,1,0,0.6,0.6,0.6,1.2,2,2,12,0.00,0.00,0.00,0.00,0.00,0.23,0.20,0.44,0.23,0.44
Denis Drăguș,FW,Romania,24,1999,4,4,291,3.2,1,0,1,1,0,0,0,0,1.1,1.1,0.1,1.1,2,3,13,0.31,0.00,0.31,0.31,0.31,0.33,0.02,0.35,0.33,0.35
Radu Drăgușin,DF,Romania,21,2002,4,4,360,4.0,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,3,1,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06
Vanja Drkušič,DF,Slovenia,24,1999,4,4,390,4.3,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,0,3,1,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03
Kwadwo Duah,FW,Switzerland,26,1997,3,1,107,1.2,1,0,1,1,0,0,0,0,0.7,0.7,0.0,0.7,1,1,5,0.84,0.00,0.84,0.84,0.84,0.60,0.00,0.60,0.60,0.60
Martin Dúbravka,GK,Slovakia,35,1989,4,4,390,4.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ondrej Duda,MF,Slovakia,29,1994,4,4,317,3.5,1,0,1,1,0,0,1,0,0.3,0.3,0.1,0.4,2,9,9,0.28,0.00,0.28,0.28,0.28,0.08,0.04,0.12,0.08,0.12
Denzel Dumfries,DF,Netherlands,27,1996,5,5,449,5.0,0,0,0,0,0,0,2,0,0.3,0.3,0.7,0.9,7,19,42,0.00,0.00,0.00,0.00,0.00,0.05,0.14,0.19,0.05,0.19
Dávid Ďuriš,"FW,MF",Slovakia,24,1999,2,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Lasha Dvali,DF,Georgia,28,1995,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,8,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Timi Elšnik,MF,Slovenia,25,1998,4,4,359,4.0,0,1,1,0,0,0,0,0,0.3,0.3,0.5,0.9,12,11,3,0.00,0.25,0.25,0.00,0.25,0.08,0.14,0.22,0.08,0.22
Breel Embolo,FW,Switzerland,26,1997,5,3,296,3.3,2,0,2,2,0,0,0,0,2.1,2.1,0.2,2.3,4,6,13,0.61,0.00,0.61,0.61,0.61,0.65,0.05,0.70,0.65,0.70
Christian Eriksen,"MF,FW",Denmark,31,1992,4,4,348,3.9,1,0,1,1,0,0,0,0,1.3,1.3,0.8,2.1,5,17,14,0.26,0.00,0.26,0.26,0.26,0.33,0.21,0.55,0.33,0.55
Eberechi Eze,"DF,MF",England,25,1998,3,0,102,1.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,6,1,7,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.16,0.16,0.16
Wout Faes,DF,Belgium,25,1998,4,4,360,4.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3,9,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nicolò Fagioli,MF,Italy,22,2001,2,1,95,1.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3,6,0,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.03,0.02,0.03
João Félix,"MF,FW",Portugal,24,1999,2,1,105,1.2,0,0,0,0,0,0,0,0,0.1,0.1,0.4,0.5,2,6,15,0.00,0.00,0.00,0.00,0.00,0.14,0.35,0.49,0.14,0.49
Bruno Fernandes,MF,Portugal,29,1994,4,4,374,4.2,1,0,1,1,0,0,0,0,1.2,1.2,0.8,2.0,17,39,33,0.24,0.00,0.24,0.24,0.24,0.32,0.21,0.53,0.32,0.53
Attila Fiola,DF,Hungary,33,1990,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,3,3,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02
Phil Foden,"FW,MF",England,23,2000,7,7,617,6.9,0,0,0,0,0,0,1,0,0.5,0.5,0.5,1.1,7,22,44,0.00,0.00,0.00,0.00,0.00,0.08,0.08,0.16,0.08,0.16
Youssouf Fofana,MF,France,25,1999,3,0,41,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,1,0.00,0.00,0.00,0.00,0.00,0.21,0.00,0.21,0.21,0.21
Michael Folorunsho,FW,Italy,25,1998,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Przemysław Frankowski,DF,Poland,28,1995,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.4,0.4,6,11,9,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.15,0.00,0.15
Davide Frattesi,MF,Italy,24,1999,4,2,185,2.1,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,2,4,13,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.12,0.12,0.12
Remo Freuler,MF,Switzerland,31,1992,5,5,456,5.1,1,2,3,1,0,0,1,0,0.3,0.3,0.6,0.9,7,22,17,0.20,0.39,0.59,0.20,0.59,0.05,0.12,0.18,0.05,0.18
Jeremie Frimpong,FW,Netherlands,23,2000,3,1,86,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,3,2,10,0.00,0.00,0.00,0.00,0.00,0.06,0.05,0.12,0.06,0.12
Chris Führich,FW,Germany,26,1998,1,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,2,3,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.17,0.17,0.17
Niclas Füllkrug,FW,Germany,30,1993,5,0,166,1.8,2,0,2,2,0,0,0,0,1.0,1.0,0.6,1.6,2,4,12,1.08,0.00,1.08,1.08,1.08,0.69,0.40,1.09,0.69,1.09
Mijat Gaćinović,DF,Serbia,28,1995,1,0,45,0.5,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,0,4,0.00,0.00,0.00,0.00,0.00,0.13,0.00,0.13,0.13,0.13
Cody Gakpo,FW,Netherlands,24,1999,6,6,523,5.8,3,1,4,3,0,0,0,0,1.1,1.1,2.0,3.0,22,11,55,0.52,0.17,0.69,0.52,0.69,0.18,0.34,0.52,0.18,0.52
Conor Gallagher,MF,England,23,2000,5,1,120,1.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Dániel Gazdag,MF,Hungary,27,1996,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Lutsharel Geertruida,DF,Netherlands,23,2000,2,1,108,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05
Billy Gilmour,MF,Scotland,22,2001,3,2,184,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,7,3,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02
Olivier Giroud,FW,France,37,1986,4,0,59,0.7,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,0,5,0.00,0.00,0.00,0.00,0.00,0.23,0.06,0.29,0.23,0.29
Klaus Gjasula,MF,Albania,34,1989,1,0,19,0.2,1,0,1,1,0,0,1,0,0.3,0.3,0.0,0.3,0,3,0,4.74,0.00,4.74,4.74,4.74,1.48,0.00,1.48,1.48,1.48
Adam Gnezda Čerin,MF,Slovenia,24,1999,4,4,390,4.3,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,4,11,5,0.00,0.00,0.00,0.00,0.00,0.06,0.01,0.07,0.06,0.07
Anthony Gordon,FW,England,22,2001,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.84,0.84,0.00,0.84
Jon Gorenc Stanković,MF,Slovenia,28,1996,4,0,94,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,5,1,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05
Michael Gregoritsch,FW,Austria,29,1994,4,1,126,1.4,1,0,1,1,0,0,0,0,0.9,0.9,0.0,0.9,0,3,9,0.71,0.00,0.71,0.71,0.71,0.68,0.00,0.68,0.68,0.68
Antoine Griezmann,"MF,FW",France,32,1991,6,4,394,4.4,0,0,0,0,0,0,1,0,2.0,2.0,0.3,2.3,7,24,23,0.00,0.00,0.00,0.00,0.00,0.45,0.08,0.53,0.45,0.53
Florian Grillitsch,MF,Austria,28,1995,4,3,194,2.2,0,1,1,0,0,0,0,0,0.2,0.2,0.1,0.3,5,22,3,0.00,0.46,0.46,0.00,0.46,0.09,0.06,0.15,0.09,0.15
Álex Grimaldo,DF,Spain,28,1995,2,1,115,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.6,0.6,4,6,13,0.00,0.00,0.00,0.00,0.00,0.00,0.47,0.47,0.00,0.47
Pascal Groß,MF,Germany,32,1991,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,5,2,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07
Kamil Grosicki,MF,Poland,35,1988,1,0,16,0.2,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,0,0,1,0.00,0.00,0.00,0.00,0.00,1.61,0.00,1.61,1.61,1.61
Nemanja Gudelj,MF,Serbia,32,1991,2,2,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,7,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Marc Guéhi,DF,England,23,2000,6,6,570,6.3,0,1,1,0,0,0,2,0,0.2,0.2,0.1,0.3,3,18,1,0.00,0.16,0.16,0.00,0.16,0.03,0.02,0.05,0.03,0.05
Péter Gulácsi,GK,Hungary,33,1990,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Arda Güler,"FW,MF",Türkiye,18,2005,5,4,340,3.8,1,2,3,1,0,0,1,0,0.3,0.3,1.4,1.6,9,20,18,0.26,0.53,0.79,0.26,0.79,0.07,0.36,0.43,0.07,0.43
İlkay Gündoğan,MF,Germany,33,1990,5,5,383,4.3,1,1,2,1,0,0,0,0,0.8,0.8,0.2,1.0,4,21,26,0.23,0.23,0.47,0.23,0.47,0.18,0.05,0.23,0.18,0.23
Angus Gunn,GK,Scotland,28,1996,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mert Günok,GK,Türkiye,34,1989,4,4,360,4.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Joško Gvardiol,DF,Croatia,22,2002,3,3,270,3.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,3,15,8,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03
Giorgi Gwelesiani,DF,Georgia,32,1991,3,2,162,1.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Norbert Gyömbér,DF,Slovakia,31,1992,2,0,32,0.4,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,4,4,0,0.00,0.00,0.00,0.00,0.00,0.00,4.13,4.13,0.00,4.13
Ianis Hagi,MF,Romania,25,1998,4,2,188,2.1,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,4,3,5,0.00,0.00,0.00,0.00,0.00,0.06,0.04,0.10,0.06,0.10
Dávid Hancko,DF,Slovakia,26,1997,4,4,366,4.1,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.3,6,20,14,0.00,0.00,0.00,0.00,0.00,0.07,0.01,0.07,0.07,0.07
Grant Hanley,DF,Scotland,32,1991,3,2,225,2.5,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,0,4,0,0.00,0.00,0.00,0.00,0.00,0.09,0.03,0.12,0.09,0.12
Lukáš Haraslín,FW,Slovakia,27,1996,4,4,264,2.9,0,1,1,0,0,0,0,0,0.5,0.5,0.6,1.1,13,2,20,0.00,0.34,0.34,0.00,0.34,0.16,0.20,0.36,0.16,0.36
Kai Havertz,"FW,MF",Germany,24,1999,5,5,389,4.3,2,1,3,0,2,2,0,0,4.1,2.5,0.3,2.8,12,11,38,0.46,0.23,0.69,0.00,0.23,0.95,0.06,1.01,0.59,0.65
Jack Hendry,DF,Scotland,28,1995,3,3,261,2.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,6,2,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01
Benjamin Henrichs,DF,Germany,26,1997,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,1,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.17,0.17,0.17
Theo Hernández,DF,France,26,1997,6,6,570,6.3,0,0,0,0,0,0,0,0,0.4,0.4,1.0,1.4,22,38,63,0.00,0.00,0.00,0.00,0.00,0.06,0.17,0.24,0.06,0.24
Morten Hjulmand,MF,Denmark,24,1999,3,3,245,2.7,1,0,1,1,0,0,2,0,0.1,0.1,0.1,0.2,1,18,7,0.37,0.00,0.37,0.37,0.37,0.05,0.02,0.07,0.05,0.07
Adam Hložek,MF,Czechia,21,2002,2,2,108,1.2,0,0,0,0,0,0,0,0,0.5,0.5,0.0,0.5,1,1,3,0.00,0.00,0.00,0.00,0.00,0.46,0.00,0.46,0.46,0.46
Tomáš Holeš,DF,Czechia,30,1993,3,3,269,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1,1,8,0,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.02,0.01,0.02
Arbër Hoxha,"FW,MF",Albania,25,1998,3,0,50,0.6,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,7,1,3,0.00,0.00,0.00,0.00,0.00,0.17,0.08,0.25,0.17,0.25
Robin Hranáč,DF,Czechia,24,2000,3,3,270,3.0,0,1,1,0,0,0,0,0,0.3,0.3,0.5,0.8,1,8,1,0.00,0.33,0.33,0.00,0.33,0.11,0.16,0.27,0.11,0.27
Elseid Hysaj,DF,Albania,29,1994,2,2,180,2.0,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,0,5,2,0.00,0.00,0.00,0.00,0.00,0.04,0.07,0.11,0.04,0.11
Pierre Højbjerg,MF,Denmark,28,1995,4,4,353,3.9,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.5,7,33,13,0.00,0.00,0.00,0.00,0.00,0.05,0.06,0.12,0.05,0.12
Rasmus Højlund,FW,Denmark,20,2003,4,4,286,3.2,0,0,0,0,0,0,0,0,0.7,0.7,0.1,0.8,6,3,28,0.00,0.00,0.00,0.00,0.00,0.21,0.04,0.25,0.21,0.25
Ivan Ilić,MF,Serbia,22,2001,3,2,201,2.2,0,1,1,0,0,0,0,0,0.0,0.0,0.3,0.4,3,13,6,0.00,0.45,0.45,0.00,0.45,0.02,0.15,0.17,0.02,0.17
Josip Iličić,"FW,MF",Slovenia,36,1988,2,0,31,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.25,0.25,0.25
Gonçalo Inácio,DF,Portugal,22,2001,2,1,118,1.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,9,25,2,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07
Luka Ivanušec,MF,Croatia,25,1998,1,0,21,0.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Erik Janža,DF,Slovenia,30,1993,3,3,269,3.0,1,0,1,1,0,0,2,0,0.0,0.0,0.6,0.6,3,11,5,0.33,0.00,0.33,0.33,0.33,0.01,0.19,0.21,0.01,0.21
Jorginho,MF,Italy,32,1991,3,3,215,2.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,18,4,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
Joselu,FW,Spain,33,1990,2,1,90,1.0,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,1,0,1,0.00,0.00,0.00,0.00,0.00,0.24,0.00,0.24,0.24,0.24
Diogo Jota,"FW,MF",Portugal,27,1996,3,0,100,1.1,0,0,0,0,0,0,0,0,0.7,0.7,0.3,1.0,6,2,13,0.00,0.00,0.00,0.00,0.00,0.86,0.40,1.26,0.86,1.26
Luka Jović,"MF,FW",Serbia,26,1997,3,0,102,1.1,1,0,1,1,0,0,1,0,0.2,0.2,0.0,0.2,1,1,3,0.88,0.00,0.88,0.88,0.88,0.17,0.04,0.20,0.17,0.20
Josip Juranović,DF,Croatia,28,1995,2,1,91,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,1,3,10,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.15,0.00,0.15
David Jurásek,DF,Czechia,23,2000,2,2,160,1.8,0,0,0,0,0,0,1,0,0.3,0.3,0.4,0.6,0,2,16,0.00,0.00,0.00,0.00,0.00,0.15,0.21,0.36,0.15,0.36
Matěj Jurásek,"DF,MF",Czechia,20,2003,2,0,46,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,6,2,13,0.00,0.00,0.00,0.00,0.00,0.17,0.08,0.25,0.17,0.25
Ferdi Kadioglu,"DF,MF",Türkiye,24,1999,5,5,450,5.0,0,0,0,0,0,0,0,0,0.1,0.1,0.9,0.9,22,24,21,0.00,0.00,0.00,0.00,0.00,0.01,0.17,0.19,0.01,0.19
