Player,Pos,Squad,Age,Club,Born,MatchesPlayed,Starts,Min,90s,Goals,Assists,G+A,G-PK,PK,PKattempted,CardY,CardR,xG,npxG,xAG,npxG+xAG,PrgCarries,PrgPasses,PrgReceived,G/90,A/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90
Brenden Aaronson,MF,United States,21,Leeds United,2000,4,0,108,1.2,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,2,6,6,0.00,0.00,0.00,0.00,0.00,0.06,0.18,0.24,0.06,0.24
Ali Abdi,DF,Tunisia,28,Caen,1993,3,2,188,2.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,7,17,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02
Salis Abdul Samed,MF,Ghana,22,Lens,2000,3,3,250,2.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,3,6,1,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02
Saud Abdulhamid,"DF,MF",Saudi Arabia,22,Al-Hilal,1999,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1,6,15,17,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.02,0.01,0.02
Nawaf Al Abed,MF,Saudi Arabia,32,Al-Shabab,1990,2,0,88,1.0,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,4,1,7,0.00,0.00,0.00,0.00,0.00,0.13,0.06,0.20,0.13,0.20
Pape Abou Cissé,DF,Senegal,26,Olympiacos,1995,3,1,105,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Vincent Aboubakar,FW,Cameroon,30,Al-Nassr,1992,3,1,142,1.6,2,1,3,2,0,0,2,1,0.6,0.6,0.6,1.2,4,1,9,1.27,0.63,1.90,1.27,1.90,0.37,0.39,0.76,0.37,0.76
Abdulrahman Al-Aboud,"MF,DF",Saudi Arabia,27,Al-Ittihad,1995,2,0,35,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,1,4,0.00,0.00,0.00,0.00,0.00,0.18,0.06,0.24,0.18,0.24
Zakaria Aboukhlal,"FW,MF",Morocco,22,Toulouse,2000,4,0,79,0.9,1,0,1,1,0,0,0,0,1.0,1.0,0.0,1.0,1,1,0,1.14,0.00,1.14,1.14,1.14,1.16,0.00,1.16,1.16,1.16
Kellyn Acosta,MF,United States,26,LAFC,1995,2,0,43,0.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,3,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Marcos Acuña,"DF,FW",Argentina,30,Sevilla,1991,6,4,373,4.1,0,0,0,0,0,0,3,0,0.1,0.1,0.3,0.4,5,13,26,0.00,0.00,0.00,0.00,0.00,0.02,0.07,0.10,0.02,0.10
Tyler Adams,MF,United States,23,Leeds United,1999,4,4,360,4.0,0,0,0,0,0,0,1,0,0.0,0.0,0.4,0.5,6,26,0,0.00,0.00,0.00,0.00,0.00,0.01,0.11,0.12,0.01,0.12
Sam Adekugbe,DF,Canada,27,Hatayspor,1995,3,1,95,1.1,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,2,4,6,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.09,0.00,0.09
Michel Aebischer,"MF,FW",Switzerland,25,Bologna,1997,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Akram Afif,FW,Qatar,25,Al Sadd,1996,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.3,0.3,7,12,11,0.00,0.00,0.00,0.00,0.00,0.02,0.10,0.12,0.02,0.12
Nayef Aguerd,DF,Morocco,26,West Ham,1996,4,4,353,3.9,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,3,0,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05
Brandon Aguilera,MF,Costa Rica,18,Asociación Deportiva Guanacasteca,2003,3,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Homam Ahmed,DF,Qatar,22,Al-Gharafa Sports Club,1999,3,3,262,2.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,4,1,11,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
Manuel Akanji,DF,Switzerland,26,Manchester City,1995,4,4,360,4.0,1,0,1,1,0,0,1,0,1.0,1.0,0.1,1.1,4,16,1,0.25,0.00,0.25,0.25,0.25,0.24,0.03,0.27,0.24,0.27
Nathan Aké,DF,Netherlands,27,Manchester City,1995,5,5,479,5.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,12,26,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ahmed Alaaeldin,FW,Qatar,29,Al-Gharafa Sports Club,1993,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jordi Alba,DF,Spain,33,Barcelona,1989,4,3,264,2.9,0,2,2,0,0,0,0,0,0.0,0.0,0.9,0.9,4,31,30,0.00,0.68,0.68,0.00,0.68,0.01,0.31,0.32,0.01,0.32
Toby Alderweireld,DF,Belgium,33,Antwerp,1989,3,3,270,3.0,0,1,1,0,0,0,0,0,0.0,0.0,0.3,0.3,1,13,1,0.00,0.33,0.33,0.00,0.33,0.00,0.11,0.11,0.00,0.11
Trent Alexander-Arnold,DF,England,23,Liverpool,1998,1,0,34,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Almoez Ali,FW,Qatar,25,Al Duhail SC,1996,3,3,224,2.5,0,0,0,0,0,0,1,0,0.4,0.4,0.0,0.4,2,2,8,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.15,0.15,0.15
Alisson,GK,Brazil,29,Liverpool,1992,4,4,379,4.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Joe Allen,MF,Wales,32,Swansea City,1990,2,1,94,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0,1,1,0.00,0.00,0.00,0.00,0.00,0.10,0.05,0.15,0.10,0.15
Thiago Almada,MF,Argentina,21,Atlanta Utd,2001,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,1,2,1,0.00,0.00,0.00,0.00,0.00,0.00,3.16,3.16,0.00,3.16
Roberto Alvarado,FW,Mexico,23,Guadalajara,1998,1,0,18,0.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Edson Álvarez,MF,Mexico,24,Ajax,1997,2,2,175,1.9,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,5,6,0,0.00,0.00,0.00,0.00,0.00,0.01,0.11,0.12,0.01,0.12
Julián Álvarez,FW,Argentina,22,Manchester City,2000,7,5,464,5.2,4,0,4,4,0,0,0,0,2.6,2.6,0.1,2.7,13,5,22,0.78,0.00,0.78,0.78,0.78,0.51,0.02,0.53,0.51,0.53
Kevin Álvarez,DF,Mexico,23,Pachuca,1999,2,1,70,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Dani Alves,DF,Brazil,39,UNAM,1983,2,1,118,1.3,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,7,4,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.14,0.14,0.14
Selim Amallah,MF,Morocco,25,Standard Liège,1996,7,4,409,4.5,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,3,4,7,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.07,0.05,0.07
Daniel Amartey,DF,Ghana,27,Leicester City,1994,3,3,251,2.8,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.3,0,9,1,0.00,0.00,0.00,0.00,0.00,0.08,0.03,0.10,0.08,0.10
Ethan Ampadu,"MF,DF",Wales,21,Spezia,2000,3,3,255,2.8,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.2,4,17,4,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.05,0.01,0.05
Sofyan Amrabat,MF,Morocco,25,Fiorentina,1996,7,7,660,7.3,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,9,28,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
Abdulelah Al-Amri,DF,Saudi Arabia,25,Al-Nassr,1997,3,2,182,2.0,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,3,13,0,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03
Joachim Andersen,DF,Denmark,26,Crystal Palace,1996,3,3,270,3.0,0,1,1,0,0,0,0,0,0.1,0.1,0.2,0.3,7,24,0,0.00,0.33,0.33,0.00,0.33,0.03,0.08,0.11,0.03,0.11
Karim Ansarifard,"FW,MF",IR Iran,32,AC Omonia,1990,2,0,35,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,1,0,2,0.00,0.00,0.00,0.00,0.00,0.17,0.20,0.36,0.17,0.36
Antony,FW,Brazil,22,Manchester Utd,2000,4,1,172,1.9,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.4,8,7,20,0.00,0.00,0.00,0.00,0.00,0.15,0.08,0.22,0.15,0.22
Uriel Antuna,"FW,MF",Mexico,24,Cruz Azul,1997,3,0,77,0.9,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,3,0,14,0.00,0.00,0.00,0.00,0.00,0.18,0.02,0.20,0.18,0.20
Néstor Araujo,DF,Mexico,30,América,1991,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,4,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Takuma Asano,FW,Japan,27,Bochum,1994,4,0,165,1.8,1,0,1,1,0,0,0,0,0.7,0.7,0.2,0.9,5,3,11,0.55,0.00,0.55,0.55,0.55,0.44,0.17,0.60,0.44,0.60
Marco Asensio,FW,Spain,26,Real Madrid,1996,4,3,229,2.5,1,0,1,1,0,0,0,0,1.2,1.2,0.1,1.3,6,9,26,0.39,0.00,0.39,0.39,0.39,0.48,0.02,0.50,0.48,0.50
Ali Assadalla,MF,Qatar,29,Al Sadd,1993,1,0,27,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Lawrence Ati-Zigi,GK,Ghana,25,St. Gallen,1996,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nathaniel Atkinson,DF,Australia,23,Hearts,1999,1,1,84,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,3,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Yahya Attiat Allah,DF,Morocco,27,Wydad Casablanca,1995,6,2,318,3.5,0,1,1,0,0,0,0,0,0.2,0.2,1.2,1.4,7,9,12,0.00,0.28,0.28,0.00,0.28,0.07,0.37,0.44,0.07,0.44
André Ayew,"MF,FW",Ghana,32,Al Sadd,1989,3,3,198,2.2,1,0,1,1,0,1,1,0,1.1,0.4,0.0,0.4,1,1,5,0.45,0.00,0.45,0.45,0.45,0.52,0.00,0.52,0.16,0.16
Jordan Ayew,FW,Ghana,30,Crystal Palace,1991,3,2,136,1.5,0,1,1,0,0,0,0,0,0.1,0.1,0.5,0.5,4,3,6,0.00,0.66,0.66,0.00,0.66,0.03,0.32,0.36,0.03,0.36
Sardar Azmoun,FW,IR Iran,27,Leverkusen,1995,3,2,126,1.4,0,0,0,0,0,0,0,0,0.9,0.9,0.1,1.0,3,3,3,0.00,0.00,0.00,0.00,0.00,0.67,0.05,0.71,0.67,0.71
César Azpilicueta,DF,Spain,32,Chelsea,1989,2,2,135,1.5,0,1,1,0,0,0,0,0,0.0,0.0,0.7,0.7,4,14,1,0.00,0.67,0.67,0.00,0.67,0.00,0.45,0.45,0.00,0.45
Srđan Babić,DF,Serbia,26,Almería,1996,1,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Keanu Baccus,MF,Australia,24,St Mirren,1998,4,1,114,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,2,6,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04
Alexander Bah,DF,Denmark,24,Benfica,1997,2,0,46,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,3,3,7,0.00,0.00,0.00,0.00,0.00,0.11,0.14,0.25,0.11,0.25
Hattan Bahebri,MF,Saudi Arabia,29,Al-Shabab,1992,2,0,4,0.0,0,1,1,0,0,0,1,0,0.0,0.0,0.6,0.6,0,0,1,0.00,22.50,22.50,0.00,22.50,0.00,14.37,14.37,0.00,14.37
Alejandro Balde,DF,Spain,18,Barcelona,2003,4,1,126,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5,5,12,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04
Gareth Bale,FW,Wales,32,LAFC,1989,3,3,225,2.5,1,0,1,0,1,1,1,0,0.8,0.0,0.2,0.2,1,4,12,0.40,0.00,0.40,0.00,0.00,0.32,0.08,0.41,0.01,0.09
Fodé Ballo-Touré,DF,Senegal,25,Milan,1997,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Badr Banoun,DF,Morocco,28,Qatar SC,1993,3,0,54,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Borna Barišić,DF,Croatia,29,Rangers,1992,1,1,120,1.3,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,2,3,2,0.00,0.00,0.00,0.00,0.00,0.02,0.12,0.14,0.02,0.14
Meshaal Barsham,GK,Qatar,24,Al Sadd,1998,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Christian Bassogog,MF,Cameroon,26,Shanghai Shen,1995,1,0,24,0.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,4,1,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Michy Batshuayi,FW,Belgium,28,Fenerbahçe,1993,2,2,151,1.7,1,0,1,1,0,0,0,0,0.8,0.8,0.1,0.8,0,1,10,0.60,0.00,0.60,0.60,0.60,0.45,0.03,0.48,0.45,0.48
Jan Bednarek,DF,Poland,26,Aston Villa,1996,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Aziz Behich,DF,Australia,31,Dundee United,1990,4,4,360,4.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,7,6,5,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03
Alireza Beiranvand,GK,IR Iran,29,Persepolis,1992,2,2,109,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jude Bellingham,MF,England,18,Dortmund,2003,5,5,414,4.6,1,1,2,1,0,0,0,0,0.6,0.6,0.3,0.9,9,22,30,0.22,0.22,0.43,0.22,0.43,0.12,0.07,0.19,0.12,0.19
Anis Ben Slimane,MF,Tunisia,21,Brøndby,2001,2,2,148,1.6,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0,3,11,0.00,0.00,0.00,0.00,0.00,0.07,0.06,0.12,0.07,0.12
Jewison Bennette,MF,Costa Rica,17,Sunderland,2004,3,1,103,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,0,8,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04
Rodrigo Bentancur,MF,Uruguay,24,Tottenham,1997,3,3,213,2.4,0,0,0,0,0,0,1,0,0.6,0.6,0.1,0.8,3,14,2,0.00,0.00,0.00,0.00,0.00,0.26,0.06,0.32,0.26,0.32
Bartosz Bereszyński,DF,Poland,29,Sampdoria,1992,4,4,341,3.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,7,8,8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Steven Berghuis,MF,Netherlands,30,Ajax,1991,4,1,200,2.2,0,1,1,0,0,0,1,0,0.3,0.3,0.1,0.3,6,15,11,0.00,0.45,0.45,0.00,0.45,0.13,0.04,0.17,0.13,0.17
Steven Bergwijn,FW,Netherlands,24,Ajax,1997,4,3,213,2.4,0,0,0,0,0,0,1,0,0.5,0.5,0.0,0.5,2,4,23,0.00,0.00,0.00,0.00,0.00,0.21,0.00,0.21,0.21,0.21
Krystian Bielik,MF,Poland,24,Derby County,1998,4,2,216,2.4,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,1,7,0,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07
Daley Blind,DF,Netherlands,32,Ajax,1990,5,5,423,4.7,1,1,2,1,0,0,0,0,0.4,0.4,0.5,0.8,2,18,20,0.21,0.21,0.43,0.21,0.43,0.08,0.10,0.18,0.08,0.18
Celso Borges,MF,Costa Rica,34,Alajuelense,1988,3,3,249,2.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,10,1,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02
Milan Borjan,GK,Canada,34,Red Star,1987,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Karim Boudiaf,MF,Qatar,31,Al Duhail SC,1990,3,2,185,2.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,6,6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Sofiane Boufal,FW,Morocco,28,Angers,1993,7,7,475,5.3,0,0,0,0,0,0,1,0,0.3,0.3,0.3,0.6,21,18,26,0.00,0.00,0.00,0.00,0.00,0.05,0.06,0.11,0.05,0.11
Yassine Bounou,GK,Morocco,31,Sevilla,1991,6,6,570,6.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Martin Braithwaite,"FW,MF",Denmark,31,Espanyol,1991,2,1,103,1.1,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,1,1,2,0.00,0.00,0.00,0.00,0.00,0.06,0.12,0.18,0.06,0.18
Mohammed Al-Breik,DF,Saudi Arabia,29,Al-Hilal,1992,2,1,65,0.7,0,0,0,0,0,0,0,0,0.4,0.0,0.0,0.1,1,6,3,0.00,0.00,0.00,0.00,0.00,0.51,0.07,0.58,0.03,0.10
Gleison Bremer,DF,Brazil,25,Juventus,1997,2,1,109,1.2,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,1,0,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.14,0.14,0.14
Dylan Bronn,DF,Tunisia,26,Salernitana,1995,2,2,162,1.8,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,9,1,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04
Marcelo Brozović,MF,Croatia,29,Inter,1992,6,6,552,6.1,0,0,0,0,0,0,1,0,0.5,0.5,0.2,0.7,11,42,18,0.00,0.00,0.00,0.00,0.00,0.09,0.03,0.12,0.09,0.12
Tajon Buchanan,"MF,DF",Canada,23,Club Brugge,1999,3,3,260,2.9,0,1,1,0,0,0,1,0,0.9,0.9,0.5,1.4,11,10,27,0.00,0.35,0.35,0.00,0.35,0.33,0.17,0.50,0.33,0.50
Ante Budimir,FW,Croatia,30,Osasuna,1991,2,0,55,0.6,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,0,2,0.00,0.00,0.00,0.00,0.00,0.37,0.07,0.44,0.37,0.44
Osman Bukari,MF,Ghana,23,Red Star,1998,2,0,59,0.7,1,0,1,1,0,0,0,0,0.5,0.5,0.1,0.6,2,1,7,1.53,0.00,1.53,1.53,1.53,0.76,0.09,0.85,0.76,0.85
Ali Al-Bulaihi,DF,Saudi Arabia,32,Al-Hilal,1989,3,3,216,2.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,7,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Firas Al-Buraikan,"MF,FW",Saudi Arabia,22,Al-Fateh,2000,3,3,268,3.0,0,1,1,0,0,0,0,0,0.1,0.1,0.1,0.2,6,5,11,0.00,0.34,0.34,0.00,0.34,0.04,0.02,0.06,0.04,0.06
Sergio Busquets,MF,Spain,33,Barcelona,1988,4,4,363,4.0,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,5,26,12,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.06,0.04,0.06
Martín Cáceres,DF,Uruguay,35,LA Galaxy,1987,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,6,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Moisés Caicedo,MF,Ecuador,20,Brighton,2001,3,3,269,3.0,1,0,1,1,0,0,1,0,0.5,0.5,0.0,0.5,5,10,2,0.33,0.00,0.33,0.33,0.33,0.17,0.00,0.17,0.17,0.17
